openalex_id,title,community_id,is_a_inter,is_a_inter_top_paths,is_a_inter_institution_paths,bridge_freq_top,bridge_freq_institutions,bridge_freq_total,bridge_fraction_top,bridge_fraction_institutions,pagerank,authority,hub,approx_betweenness_path_subgraph,eigenvector_path_subgraph,harmonic_to_unicamp_sampled,harmonic_to_top_tier_sampled,bridge_proximity,is_unicamp,is_top_tier,is_important_institution
W1479702306,Scalable compression and transmission of internet multicast video,9,True,False,True,0,2,2,0.0,2.800179211469534e-05,1.1490382243342508e-05,4.1798590312913205e-08,5.887160371271395e-07,5.783498163403921e-05,3.495361287626827e-05,0.1820439326298701,0.26674107142857134,0.6142996226932064,False,False,False
W1479911746,Population-Based Incremental Learning: A Method for Integrating Genetic Search Based Function Optimization and Competitive Learning,4,True,True,True,1,7,8,2.6904864399483427e-05,9.80062724014337e-05,2.5559648673518278e-05,2.8601292612441567e-07,2.40576438903026e-06,0.0,3.0859737380272063e-06,0.16902901785714267,0.25234374999999987,0.5757369580672546,False,False,False
W1480042391,A Quantitative Study on the Aspectization of Exception Handling,12,True,True,False,10,0,10,0.00026904864399483427,0.0,1.9583367636808595e-05,1.95033161394794e-08,1.0078005649669807e-07,0.0,3.5697853189370022e-06,0.14796006944444434,0.215066964285714,0.497286093264917,False,False,False
W1480063481,Embedded image coding using zeroblocks of subband/wavelet coefficients and context modeling,9,True,True,False,3,0,3,8.071459319845028e-05,0.0,1.1248102896292837e-05,5.69057172273151e-07,3.355207148945082e-07,0.0,8.948547241888577e-06,0.16450301001082243,0.24447544642857125,0.5590514096523436,False,False,False
W148103248,Learning Rules that Classify E-Mail,4,True,False,True,0,4,4,0.0,5.600358422939068e-05,0.00011910380935756289,1.750430614442886e-06,3.2872087267501937e-09,1.5345244390722973e-05,1.901782522256365e-05,0.16808965773809514,0.2549479166666665,0.5770898403947696,False,False,False
W1481624564,Systems and Experiment Paper: Construction of Panoramic Image Mosaics with Global and Local Alignment,1,True,False,True,0,1,1,0.0,1.400089605734767e-05,2.1387810852007537e-05,7.476887652850186e-07,2.779532256789158e-07,3.198709491322055e-05,4.352343633460274e-05,0.17249222132034622,0.26687127976190467,0.5981124948602642,False,False,False
W1484786551,A theory of diagnosis for incomplete causal models,20,True,False,True,0,2,2,0.0,2.800179211469534e-05,1.190734700024562e-05,6.9713998167770485e-09,1.1959679239043339e-11,0.0,2.001553181140043e-07,0.1544146825396824,0.20710565476190454,0.4985256098311519,False,False,False
W1485231155,A combined SVM and LDA approach for classification,4,True,False,True,0,1,1,0.0,1.400089605734767e-05,2.182923323737333e-05,4.035193520576271e-06,1.271234548525195e-06,0.0,0.00012386768204530256,0.19034598214285708,0.3024739583333333,0.6689028562756162,False,False,False
W1485761730,"Monitoring, Security, and Dynamic Configuration with the DynamicTAO Reflective ORB",12,True,True,False,1,0,1,2.6904864399483427e-05,0.0,2.2650013169886475e-05,1.234552477484632e-07,1.4647166176418158e-13,2.242766487874896e-05,2.006476084669333e-06,0.1567491319444443,0.21648065476190456,0.5135223110051123,False,False,False
W1486088638,Contrast Plots and P-Sphere Trees: Space vs. Time in Nearest Neighbour Searches,1,True,True,True,7,4,11,0.000188334050796384,5.600358422939068e-05,1.1841415776401246e-05,5.736661397920833e-07,3.2729811825962925e-06,0.0,0.000263340060057352,0.19329765286796527,0.28098958333333324,0.6496891275431896,False,False,False
W1486632395,A gentle tutorial of the em algorithm and its application to parameter estimation for Gaussian mixture and hidden Markov models,4,True,True,True,1,5,6,2.6904864399483427e-05,7.000448028673835e-05,5.7542167004498615e-05,4.139232476632122e-06,2.1726420528083712e-06,0.00013567261747374782,0.0002923210525253308,0.2027656588203462,0.32669270833333347,0.717487138955399,False,False,True
W1486818322,A survey of cyber crimes,14,True,False,True,0,14,14,0.0,0.0001960125448028674,6.910736942504283e-06,5.546455309200103e-08,1.0256439263735154e-10,0.0,2.2791521940389807e-07,0.1447144435425684,0.20723586309523795,0.482764798205089,False,False,False
W1487528910,Stacked PCA Network (SPCANet): An effective deep learning for face recognition,0,True,False,True,0,1,1,0.0,1.400089605734767e-05,6.671131814611905e-06,5.676994353131531e-05,0.00013007932365883783,0.0,0.00965695832689995,0.2011656746031745,0.3542968750000002,0.7442310725134015,False,False,False
